levelId	levelName	unitName	questionType	sourceType	question	choiceA	choiceB	choiceC	choiceD	answer	formulaHint	symbolNote	thinkingGuide	worksheetHint	difficulty	gameMode	teacherNote
3-1-L1-Q1	數字排隊	數列概念	singleChoice	warmup	下列哪一個最像數列的概念？	一串依序排列的數字	隨便寫在紙上的數字	只有一個數字	沒有順序的圖案	A	數列重點是「依序排列」。	項就是數列中的每一個數。	先找出哪個選項有順序。	在學習單寫下你自己的生活數列例子。	easy	warmup	觀察學生是否理解數列不是單一數字。
3-1-L1-Q2	規則偵查	數列概念	shortAnswer	example	若數列的一般項是 2n+1，請寫出前 5 項。					3,5,7,9,11	把 n 分別換成 1,2,3,4,5。	n 代表第幾項，不是答案本身。	先算第 1 項，再算第 2 項。	在學習單逐格寫 n=1 到 n=5。	easy	main	若學生只寫一項，代表還不理解「前 5 項」。
3-1-L1-Q3	規則偵查	數列概念	shortAnswer	practice	若數列的一般項是 n^2，請寫出前 5 項。					1,4,9,16,25	平方就是自己乘自己。	n^2 表示 n 的平方。	把 1,2,3,4,5 分別平方。	在學習單寫出每一步代入。	easy	practice	適合做第 1 節類題。
3-1-L2-Q1	加法密碼	級數概念	singleChoice	warmup	「級數」最接近下列哪一個意思？	把數列各項加起來	把數列重新排序	只看第一項	只看最大值	A	級數是數列各項相加。	級數通常會出現加號或加總符號。	看到級數時先想「加起來」。	在學習單寫下「數列」和「級數」的差異。	easy	warmup	檢查學生是否混淆數列與級數。
3-1-L2-Q2	展開卷軸	級數概念	shortAnswer	example	請將 k=1 到 5 的 k 逐項展開。					1+2+3+4+5	下限是 1，上限是 5。	k 會依序變成 1,2,3,4,5。	把每一次 k 的值寫出來並用加號連接。	在學習單圈出下限與上限。	medium	main	可接受等價格式。
3-1-L2-Q3	展開卷軸	級數概念	shortAnswer	practice	請將 i=1 到 4 的 3i+1 逐項展開。					4+7+10+13	把 i 分別代入 1,2,3,4。	3i+1 是每一項的規則。	先算每一項，再用加號連起來。	學習單先寫 i=1,2,3,4 四列。	medium	practice	若學生忘記 +1，需補強代入。
3-1-L3-Q1	公差追蹤	等差數列	singleChoice	warmup	數列 5,7,9,11 的公差是多少？	2	5	7	11	A	公差是後項減前項。	d 代表公差。	用第二項減第一項。	學習單寫出 7-5。	easy	warmup	檢查是否知道後項減前項。
3-1-L3-Q2	第 n 項定位	等差數列	shortAnswer	example	已知等差數列首項為 5，公差為 2，求第 10 項。					23	使用 an=a1+(n-1)d。	a1=5，d=2，n=10。	先填 a1、d、n，再代入公式。	學習單分三格寫 a1、d、n。	medium	main	課本例題核心題。
3-1-L3-Q3	第 n 項定位	等差數列	shortAnswer	practice	已知等差數列首項為 4，公差為 -3，求第 12 項。					-29	使用 an=a1+(n-1)d。	a1=4，d=-3，n=12。	注意公差是負數。	學習單保留 4+(12-1)(-3) 的過程。	medium	practice	教師用書類題，適合補強負公差。
3-1-L3-Q4	反推線索	等差數列	shortAnswer	example	已知等差數列第 4 項為 15，第 7 項為 3，求首項。					27	兩項相差 3 個公差。	a4=15，a7=3。	先用 a7-a4 求 3 個公差。	學習單寫出 3-15=3d。	hard	challenge	課本例題，學生可能需要小組討論。
3-1-L4-Q1	空格橋梁	等差數列	shortAnswer	example	在 4 與 -24 之間插入 6 個數，使其成等差數列，求插入的第 3 個數。					-8	插入 6 個數後共有 8 項。	4 是第 1 項，-24 是第 8 項。	先求公差，再找插入第 3 個數對應原數列第幾項。	學習單畫出 8 個空格。	hard	main	課本例題，重點在項數判斷。
3-1-L4-Q2	火柴工坊	等差數列應用	shortAnswer	example	用 4 根火柴排 1 個正方形，7 根排 2 個正方形，依此規則排 15 個正方形需要幾根？					46	每多一個正方形多 3 根。	a1=4，d=3，n=15。	先列出 4,7,10 找規則。	學習單畫前 3 個正方形或寫前三項。	medium	application	適合小組討論。
3-1-L4-Q3	馬拉松試煉	等差數列應用	singleChoice	boss	第一週跑 8 公里，每週比前一週增加 3 公里，最快第幾週該週訓練長度會超過 42.195 公里？	12	13	14	15	B	使用 an=a1+(n-1)d，並找出超過目標的最小 n。	a1=8，d=3，目標是超過 42.195。	試算選項，找第一個超過的週數。	學習單圈出「超過」兩字，注意不是等於。	hard	boss	統測素養題，可做第 4 節 Boss。
